id,title,city,locality,property_type,bhk,area_sqft,bathrooms,furnishing,parking,rent,latitude,longitude
1,2 BHK Apartment in Telibandha,Raipur,Telibandha,Apartment,2,908,2,Unfurnished,Yes,19900,21.24288,81.665796
2,3 BHK Independent House in Power House,Bhilai,Power House,Independent House,3,1302,3,Semi-Furnished,Yes,13600,21.213571,81.31534
3,2 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,2,928,1,Semi-Furnished,Yes,23500,21.252957,81.610687
4,1 BHK Independent House in Risali,Bhilai,Risali,Independent House,1,547,1,Semi-Furnished,Yes,8200,21.186438,81.348414
5,3 BHK Apartment in Power House,Bhilai,Power House,Apartment,3,1620,2,Semi-Furnished,Yes,13900,21.204982,81.326869
6,3 BHK Independent House in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Independent House,3,1172,3,Unfurnished,No,19000,21.252881,81.610788
7,3 BHK Apartment in Sector 9,Bhilai,Sector 9,Apartment,3,1715,3,Semi-Furnished,Yes,17600,21.191369,81.337758
8,4 BHK Apartment in Pandri,Raipur,Pandri,Apartment,4,2167,4,Furnished,Yes,49100,21.262418,81.636936
9,2 BHK Apartment in Magneto Mall Area,Raipur,Magneto Mall Area,Apartment,2,859,2,Semi-Furnished,No,15000,21.235128,81.659752
10,2 BHK Apartment in Civic Centre,Bhilai,Civic Centre,Apartment,2,1055,1,Furnished,Yes,13400,21.18605,81.290192
11,2 BHK Apartment in Devendra Nagar,Raipur,Devendra Nagar,Apartment,2,1095,1,Semi-Furnished,No,19200,21.252203,81.640276
12,2 BHK Independent House in Smriti Nagar,Bhilai,Smriti Nagar,Independent House,2,1068,2,Semi-Furnished,No,9700,21.213414,81.382219
13,3 BHK Apartment in Magneto Mall Area,Raipur,Magneto Mall Area,Apartment,3,1554,3,Unfurnished,Yes,30600,21.238173,81.650198
14,2 BHK Independent House in Shankar Nagar,Raipur,Shankar Nagar,Independent House,2,876,2,Furnished,Yes,21100,21.259361,81.629752
15,2 BHK Apartment in Nehru Nagar,Bhilai,Nehru Nagar,Apartment,2,834,2,Unfurnished,No,6500,21.196745,81.352235
16,2 BHK Apartment in Mowa,Raipur,Mowa,Apartment,2,1076,2,Semi-Furnished,No,15700,21.263698,81.697679
17,3 BHK Apartment in Supela,Bhilai,Supela,Apartment,3,1596,3,Semi-Furnished,Yes,12900,21.193709,81.30897
18,1 BHK Apartment in Saddu,Raipur,Saddu,Apartment,1,697,1,Semi-Furnished,Yes,12000,21.275908,81.664388
19,2 BHK Independent House in Kabir Nagar,Raipur,Kabir Nagar,Independent House,2,1097,2,Semi-Furnished,No,19100,21.244499,81.612993
20,2 BHK Independent House in Devendra Nagar,Raipur,Devendra Nagar,Independent House,2,1165,2,Furnished,No,27700,21.246334,81.648637
21,2 BHK Apartment in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Apartment,2,1133,2,Semi-Furnished,Yes,23400,21.251352,81.607022
22,2 BHK Apartment in Risali,Bhilai,Risali,Apartment,2,952,2,Semi-Furnished,Yes,11300,21.192933,81.3466
23,3 BHK Apartment in Mowa,Raipur,Mowa,Apartment,3,1421,3,Furnished,Yes,24600,21.271484,81.698717
24,4 BHK Independent House in Sector 9,Bhilai,Sector 9,Independent House,4,1679,4,Furnished,Yes,22200,21.193476,81.328521
25,2 BHK Apartment in Nehru Nagar,Bhilai,Nehru Nagar,Apartment,2,964,1,Unfurnished,No,8200,21.194744,81.355247
26,4 BHK Apartment in Sector 7,Bhilai,Sector 7,Apartment,4,2158,4,Unfurnished,No,22600,21.197074,81.339967
27,3 BHK Apartment in Risali,Bhilai,Risali,Apartment,3,1240,3,Semi-Furnished,No,13700,21.194305,81.350899
28,2 BHK Independent House in Pandri,Raipur,Pandri,Independent House,2,808,2,Semi-Furnished,Yes,15400,21.257056,81.634056
29,2 BHK Apartment in Katora Talab,Raipur,Katora Talab,Apartment,2,1094,2,Semi-Furnished,No,17100,21.245919,81.62634
30,2 BHK Apartment in Sarona,Raipur,Sarona,Apartment,2,784,2,Unfurnished,Yes,10000,21.230604,81.605642
31,2 BHK Apartment in Kachna,Raipur,Kachna,Apartment,2,877,1,Semi-Furnished,Yes,15000,21.266174,81.656319
32,3 BHK Apartment in Junwani,Bhilai,Junwani,Apartment,3,1662,2,Semi-Furnished,No,14900,21.223042,81.366397
33,2 BHK Apartment in Kachna,Raipur,Kachna,Apartment,2,914,2,Furnished,Yes,19200,21.269462,81.65857
34,1 BHK Apartment in Mowa,Raipur,Mowa,Apartment,1,652,1,Unfurnished,Yes,10200,21.276246,81.691674
35,2 BHK Apartment in Charoda,Bhilai,Charoda,Apartment,2,754,2,Semi-Furnished,No,5100,21.229017,81.424115
36,2 BHK Apartment in Naya Raipur,Raipur,Naya Raipur,Apartment,2,821,1,Unfurnished,Yes,15200,21.158449,81.791304
37,2 BHK Apartment in Kachna,Raipur,Kachna,Apartment,2,1088,2,Unfurnished,No,17000,21.262938,81.66266
38,2 BHK Apartment in Naya Raipur,Raipur,Naya Raipur,Apartment,2,1109,1,Semi-Furnished,Yes,20000,21.163352,81.779709
39,4 BHK Apartment in Nehru Nagar,Bhilai,Nehru Nagar,Apartment,4,1754,4,Unfurnished,No,16300,21.200786,81.345092
40,2 BHK Apartment in Sarona,Raipur,Sarona,Apartment,2,869,2,Unfurnished,No,13300,21.22874,81.597317
41,4 BHK Apartment in Kohka,Bhilai,Kohka,Apartment,4,2322,4,Furnished,Yes,20900,21.204646,81.395189
42,4 BHK Apartment in Power House,Bhilai,Power House,Apartment,4,1723,4,Semi-Furnished,Yes,14800,21.21019,81.316509
43,2 BHK Apartment in Telibandha,Raipur,Telibandha,Apartment,2,1179,1,Unfurnished,Yes,21000,21.248264,81.660941
44,1 BHK Apartment in Telibandha,Raipur,Telibandha,Apartment,1,614,1,Furnished,Yes,14800,21.238338,81.660775
45,4 BHK Apartment in Civic Centre,Bhilai,Civic Centre,Apartment,4,2253,4,Furnished,Yes,29100,21.192423,81.281631
46,2 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,2,1029,1,Semi-Furnished,Yes,22000,21.246632,81.615284
47,2 BHK Independent House in Mowa,Raipur,Mowa,Independent House,2,973,2,Furnished,Yes,21600,21.271139,81.69206
48,4 BHK Apartment in Telibandha,Raipur,Telibandha,Apartment,4,2151,4,Semi-Furnished,No,48500,21.24307,81.664114
49,2 BHK Apartment in Pandri,Raipur,Pandri,Apartment,2,1097,2,Furnished,Yes,22300,21.256853,81.636673
50,4 BHK Independent House in Power House,Bhilai,Power House,Independent House,4,2094,4,Furnished,Yes,24700,21.216322,81.320924
51,2 BHK Apartment in Junwani,Bhilai,Junwani,Apartment,2,756,2,Semi-Furnished,Yes,7000,21.215726,81.369026
52,2 BHK Apartment in Pandri,Raipur,Pandri,Apartment,2,1021,2,Unfurnished,No,16800,21.262704,81.639345
53,2 BHK Independent House in Junwani,Bhilai,Junwani,Independent House,2,1008,2,Furnished,Yes,11000,21.212654,81.372922
54,2 BHK Apartment in Devendra Nagar,Raipur,Devendra Nagar,Apartment,2,886,2,Semi-Furnished,Yes,15900,21.25947,81.642942
55,3 BHK Apartment in Saddu,Raipur,Saddu,Apartment,3,1529,3,Unfurnished,Yes,23600,21.280463,81.67034
56,4 BHK Apartment in Kabir Nagar,Raipur,Kabir Nagar,Apartment,4,1951,3,Unfurnished,No,32900,21.246185,81.620157
57,2 BHK Independent House in Kohka,Bhilai,Kohka,Independent House,2,801,2,Semi-Furnished,No,6300,21.208453,81.384833
58,1 BHK Apartment in Kohka,Bhilai,Kohka,Apartment,1,590,1,Unfurnished,No,3800,21.212909,81.391276
59,2 BHK Independent House in Kabir Nagar,Raipur,Kabir Nagar,Independent House,2,1177,2,Unfurnished,Yes,18700,21.238564,81.617117
60,3 BHK Apartment in Kabir Nagar,Raipur,Kabir Nagar,Apartment,3,1195,3,Unfurnished,Yes,20700,21.243268,81.622658
61,1 BHK Apartment in Sector 7,Bhilai,Sector 7,Apartment,1,591,1,Unfurnished,Yes,5900,21.19196,81.330962
62,3 BHK Independent House in Shanti Nagar,Bhilai,Shanti Nagar,Independent House,3,1133,3,Furnished,No,11100,21.192726,81.361491
63,1 BHK Apartment in Nehru Nagar,Bhilai,Nehru Nagar,Apartment,1,475,1,Furnished,Yes,5700,21.191816,81.344654
64,2 BHK Apartment in Sector 7,Bhilai,Sector 7,Apartment,2,906,2,Furnished,No,9800,21.188211,81.342171
65,2 BHK Independent House in Magneto Mall Area,Raipur,Magneto Mall Area,Independent House,2,914,2,Semi-Furnished,Yes,18500,21.240128,81.653032
66,2 BHK Independent House in Sarona,Raipur,Sarona,Independent House,2,776,2,Semi-Furnished,Yes,13900,21.223411,81.602887
67,2 BHK Apartment in Sector 5,Bhilai,Sector 5,Apartment,2,919,2,Unfurnished,No,8300,21.201746,81.347379
